fiscal_year,quarter,loan_type,metric,value,source_file,fiscal_period,total_outstanding_bn_all_types
2014,Q2,Stafford Subsidized,dollars_outstanding_bn,255.3,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Stafford Subsidized,recipients_mm,28.2,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Stafford Unsubsidized,dollars_outstanding_bn,350.7,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Stafford Unsubsidized,recipients_mm,25.5,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Stafford (Combined),dollars_outstanding_bn,606.0,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Stafford (Combined),unique_recipients_mm,30.7,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Grad PLUS,dollars_outstanding_bn,37.8,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Grad PLUS,recipients_mm,0.9,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Parent PLUS,dollars_outstanding_bn,62.2,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Parent PLUS,recipients_mm,3.1,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Perkins,dollars_outstanding_bn,8.3,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Perkins,recipients_mm,3.0,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Consolidation,dollars_outstanding_bn,373.6,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q2,Consolidation,recipients_mm,11.8,PortfoliobyLoanType.xls,2014_Q2,1693.9
2014,Q3,Stafford Subsidized,dollars_outstanding_bn,254.1,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Stafford Subsidized,recipients_mm,28.0,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Stafford Unsubsidized,dollars_outstanding_bn,355.1,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Stafford Unsubsidized,recipients_mm,25.5,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Stafford (Combined),dollars_outstanding_bn,609.2,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Stafford (Combined),unique_recipients_mm,30.5,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Grad PLUS,dollars_outstanding_bn,38.6,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Grad PLUS,recipients_mm,0.9,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Parent PLUS,dollars_outstanding_bn,61.9,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Parent PLUS,recipients_mm,3.1,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Perkins,dollars_outstanding_bn,8.2,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Perkins,recipients_mm,2.9,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Consolidation,dollars_outstanding_bn,378.8,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q3,Consolidation,recipients_mm,11.8,PortfoliobyLoanType.xls,2014_Q3,1705.9
2014,Q4,Stafford Subsidized,dollars_outstanding_bn,258.8,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Stafford Subsidized,recipients_mm,28.7,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Stafford Unsubsidized,dollars_outstanding_bn,370.8,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Stafford Unsubsidized,recipients_mm,26.3,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Stafford (Combined),dollars_outstanding_bn,629.7,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Stafford (Combined),unique_recipients_mm,31.4,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Grad PLUS,dollars_outstanding_bn,41.2,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Parent PLUS,dollars_outstanding_bn,65.1,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Parent PLUS,recipients_mm,3.2,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Perkins,dollars_outstanding_bn,8.2,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Perkins,recipients_mm,2.9,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Consolidation,dollars_outstanding_bn,385.8,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2014,Q4,Consolidation,recipients_mm,11.8,PortfoliobyLoanType.xls,2014_Q4,1759.6000000000001
2015,Q1,Stafford Subsidized,dollars_outstanding_bn,258.0,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Stafford Subsidized,recipients_mm,28.9,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Stafford Unsubsidized,dollars_outstanding_bn,373.0,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Stafford Unsubsidized,recipients_mm,26.6,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Stafford (Combined),dollars_outstanding_bn,630.9,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Stafford (Combined),unique_recipients_mm,31.7,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Grad PLUS,dollars_outstanding_bn,40.9,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Parent PLUS,dollars_outstanding_bn,65.1,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Parent PLUS,recipients_mm,3.2,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Perkins,dollars_outstanding_bn,8.2,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Perkins,recipients_mm,3.0,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Consolidation,dollars_outstanding_bn,394.9,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q1,Consolidation,recipients_mm,11.9,PortfoliobyLoanType.xls,2015_Q1,1771.0
2015,Q2,Stafford Subsidized,dollars_outstanding_bn,262.9,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Stafford Subsidized,recipients_mm,28.8,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Stafford Unsubsidized,dollars_outstanding_bn,388.4,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Stafford Unsubsidized,recipients_mm,26.5,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Stafford (Combined),dollars_outstanding_bn,651.3,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Stafford (Combined),unique_recipients_mm,31.5,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Grad PLUS,dollars_outstanding_bn,43.4,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Parent PLUS,dollars_outstanding_bn,68.7,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Parent PLUS,recipients_mm,3.2,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Perkins,dollars_outstanding_bn,8.3,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Perkins,recipients_mm,2.9,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Consolidation,dollars_outstanding_bn,402.8,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q2,Consolidation,recipients_mm,11.9,PortfoliobyLoanType.xls,2015_Q2,1825.8
2015,Q3,Stafford Subsidized,dollars_outstanding_bn,260.7,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Stafford Subsidized,recipients_mm,28.5,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Stafford Unsubsidized,dollars_outstanding_bn,390.8,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Stafford Unsubsidized,recipients_mm,26.4,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Stafford (Combined),dollars_outstanding_bn,651.6,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Stafford (Combined),unique_recipients_mm,31.3,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Grad PLUS,dollars_outstanding_bn,44.1,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Parent PLUS,dollars_outstanding_bn,68.0,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Parent PLUS,recipients_mm,3.1,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Perkins,dollars_outstanding_bn,8.2,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Perkins,recipients_mm,2.9,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Consolidation,dollars_outstanding_bn,410.3,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q3,Consolidation,recipients_mm,11.9,PortfoliobyLoanType.xls,2015_Q3,1833.7
2015,Q4,Stafford Subsidized,dollars_outstanding_bn,264.8,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Stafford Subsidized,recipients_mm,29.1,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Stafford Unsubsidized,dollars_outstanding_bn,404.9,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Stafford Unsubsidized,recipients_mm,27.1,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Stafford (Combined),dollars_outstanding_bn,669.7,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Stafford (Combined),unique_recipients_mm,32.1,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Grad PLUS,dollars_outstanding_bn,46.8,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Parent PLUS,dollars_outstanding_bn,71.1,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Parent PLUS,recipients_mm,3.3,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Perkins,dollars_outstanding_bn,8.1,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Perkins,recipients_mm,2.8,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Consolidation,dollars_outstanding_bn,416.7,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2015,Q4,Consolidation,recipients_mm,11.9,PortfoliobyLoanType.xls,2015_Q4,1882.1000000000001
2016,Q1,Stafford Subsidized,dollars_outstanding_bn,264.1,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Stafford Subsidized,recipients_mm,29.3,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Stafford Unsubsidized,dollars_outstanding_bn,406.6,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Stafford Unsubsidized,recipients_mm,27.3,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Stafford (Combined),dollars_outstanding_bn,670.7,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Stafford (Combined),unique_recipients_mm,32.2,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Grad PLUS,dollars_outstanding_bn,46.6,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Parent PLUS,dollars_outstanding_bn,71.1,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Parent PLUS,recipients_mm,3.4,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Perkins,dollars_outstanding_bn,8.1,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Perkins,recipients_mm,2.9,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Consolidation,dollars_outstanding_bn,423.6,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q1,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2016_Q1,1890.8000000000002
2016,Q2,Stafford Subsidized,dollars_outstanding_bn,269.0,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Stafford Subsidized,recipients_mm,29.2,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Stafford Unsubsidized,dollars_outstanding_bn,421.8,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Stafford Unsubsidized,recipients_mm,27.3,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Stafford (Combined),dollars_outstanding_bn,690.8,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Stafford (Combined),unique_recipients_mm,32.1,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Grad PLUS,dollars_outstanding_bn,49.4,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Parent PLUS,dollars_outstanding_bn,75.2,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Parent PLUS,recipients_mm,3.3,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Perkins,dollars_outstanding_bn,8.2,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Perkins,recipients_mm,2.8,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Consolidation,dollars_outstanding_bn,431.2,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q2,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2016_Q2,1945.6
2016,Q3,Stafford Subsidized,dollars_outstanding_bn,266.7,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Stafford Subsidized,recipients_mm,28.9,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Stafford Unsubsidized,dollars_outstanding_bn,423.5,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Stafford Unsubsidized,recipients_mm,27.1,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Stafford (Combined),dollars_outstanding_bn,690.3,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Stafford (Combined),unique_recipients_mm,31.9,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Grad PLUS,dollars_outstanding_bn,50.2,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Grad PLUS,recipients_mm,1.0,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Parent PLUS,dollars_outstanding_bn,74.5,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Parent PLUS,recipients_mm,3.3,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Perkins,dollars_outstanding_bn,8.0,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Perkins,recipients_mm,2.7,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Consolidation,dollars_outstanding_bn,439.2,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q3,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2016_Q3,1952.4
2016,Q4,Stafford Subsidized,dollars_outstanding_bn,270.1,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Stafford Subsidized,recipients_mm,29.5,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Stafford Unsubsidized,dollars_outstanding_bn,436.1,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Stafford Unsubsidized,recipients_mm,27.8,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Stafford (Combined),dollars_outstanding_bn,706.2,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Stafford (Combined),unique_recipients_mm,32.6,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Grad PLUS,dollars_outstanding_bn,53.0,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Grad PLUS,recipients_mm,1.1,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Parent PLUS,dollars_outstanding_bn,77.8,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Parent PLUS,recipients_mm,3.5,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Perkins,dollars_outstanding_bn,7.9,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Perkins,recipients_mm,2.7,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Consolidation,dollars_outstanding_bn,447.3,PortfoliobyLoanType.xls,2016_Q4,1998.4
2016,Q4,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2016_Q4,1998.4
2017,Q1,Stafford Subsidized,dollars_outstanding_bn,268.8,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Stafford Subsidized,recipients_mm,29.6,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Stafford Unsubsidized,dollars_outstanding_bn,436.5,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Stafford Unsubsidized,recipients_mm,28.0,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Stafford (Combined),dollars_outstanding_bn,705.3,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Stafford (Combined),unique_recipients_mm,32.8,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Grad PLUS,dollars_outstanding_bn,52.8,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Grad PLUS,recipients_mm,1.1,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Parent PLUS,dollars_outstanding_bn,77.5,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Parent PLUS,recipients_mm,3.5,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Perkins,dollars_outstanding_bn,7.9,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Perkins,recipients_mm,2.7,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Consolidation,dollars_outstanding_bn,456.2,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q1,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2017_Q1,2005.0
2017,Q2,Stafford Subsidized,dollars_outstanding_bn,272.5,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Stafford Subsidized,recipients_mm,29.4,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Stafford Unsubsidized,dollars_outstanding_bn,449.6,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Stafford Unsubsidized,recipients_mm,27.9,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Stafford (Combined),dollars_outstanding_bn,722.2,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Stafford (Combined),unique_recipients_mm,32.6,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Grad PLUS,dollars_outstanding_bn,55.7,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Grad PLUS,recipients_mm,1.1,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Parent PLUS,dollars_outstanding_bn,81.5,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Parent PLUS,recipients_mm,3.4,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Perkins,dollars_outstanding_bn,7.9,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Perkins,recipients_mm,2.6,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Consolidation,dollars_outstanding_bn,464.5,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q2,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2017_Q2,2053.9
2017,Q3,Stafford Subsidized,dollars_outstanding_bn,269.9,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford Subsidized,recipients_mm,29.0,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford Unsubsidized,dollars_outstanding_bn,450.3,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford Unsubsidized,recipients_mm,27.6,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford (Combined),dollars_outstanding_bn,720.2,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Stafford (Combined),unique_recipients_mm,32.2,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Grad PLUS,dollars_outstanding_bn,56.6,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Grad PLUS,recipients_mm,1.1,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Parent PLUS,dollars_outstanding_bn,80.5,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Parent PLUS,recipients_mm,3.4,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Perkins,dollars_outstanding_bn,7.8,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Perkins,recipients_mm,2.6,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Consolidation,dollars_outstanding_bn,472.3,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q3,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2017_Q3,2057.6
2017,Q4,Stafford Subsidized,dollars_outstanding_bn,273.1,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford Subsidized,recipients_mm,29.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford Unsubsidized,dollars_outstanding_bn,462.4,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford Unsubsidized,recipients_mm,28.3,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford (Combined),dollars_outstanding_bn,735.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Stafford (Combined),unique_recipients_mm,32.9,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Grad PLUS,dollars_outstanding_bn,59.7,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Grad PLUS,recipients_mm,1.2,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Parent PLUS,dollars_outstanding_bn,83.9,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Parent PLUS,recipients_mm,3.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Perkins,dollars_outstanding_bn,7.6,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Perkins,recipients_mm,2.5,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Consolidation,dollars_outstanding_bn,480.3,PortfoliobyLoanType.xls,2017_Q4,2102.5
2017,Q4,Consolidation,recipients_mm,12.0,PortfoliobyLoanType.xls,2017_Q4,2102.5
2018,Q1,Stafford Subsidized,dollars_outstanding_bn,272.2,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford Subsidized,recipients_mm,29.6,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford Unsubsidized,dollars_outstanding_bn,463.3,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford Unsubsidized,recipients_mm,28.4,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford (Combined),dollars_outstanding_bn,735.5,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Stafford (Combined),unique_recipients_mm,33.0,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Grad PLUS,dollars_outstanding_bn,59.6,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Grad PLUS,recipients_mm,1.2,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Parent PLUS,dollars_outstanding_bn,83.7,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Parent PLUS,recipients_mm,3.5,PortfoliobyLoanType.xls,2018_Q1,2110.9
2018,Q1,Perkins,dollars_outstanding_bn,7.6,PortfoliobyLoanType.xls,2018_Q1,2110.9
